,gay,lesbian,bisexual,pansexual,straight,heterosexual,homosexual,asexual,homoromantic,biromantic,panromantic,aromantic,heteroromantic
"[0, 55]","[56, 111]","[112, 167]","[168, 223]","[224, 279]","[280, 335]","[336, 391]","[392, 447]","[448, 503]","[504, 559]","[560, 615]","[616, 671]","[672, 727]","[728, 783]"
"[784, 839]","[840, 895]","[896, 951]","[952, 1007]","[1008, 1063]","[1064, 1119]","[1120, 1175]","[1176, 1231]","[1232, 1287]","[1288, 1343]","[1344, 1399]","[1400, 1455]","[1456, 1511]","[1512, 1567]"
"[1568, 1623]","[1624, 1679]","[1680, 1735]","[1736, 1791]","[1792, 1847]","[1848, 1903]","[1904, 1959]","[1960, 2015]","[2016, 2071]","[2072, 2127]","[2128, 2183]","[2184, 2239]","[2240, 2295]","[2296, 2351]"
"[2352, 2371]",,,,,,,,,,,,,
